Date and Time,Rocket,Flight Number,Launch Country,Launch Site,LSP,Payload,Operator,Orbit,Function,Decay,Outcome,Remarks
1 September17:22,UGM-27 Polaris (STARS),,United States,Kodiak,Sandia,GMD FTG-02 target,MDA,Suborbital,Target,1 September,Successful,"
Apogee: 1,000 kilometres (620 mi), intercepted by GBI
"
1 September17:39,Orbital Boost Vehicle,,United States,Vandenberg LF-23,Orbital Sciences/MDA,GMD FTG-02,MDA,Suborbital,ABM test,1 September,Successful,"
Apogee: 1,000 kilometres (620 mi), intercepted STARS
"
4 September,Dong Feng 31,,China,Taiyuan,PLA,,PLA,Suborbital,Missile test,4 September,Successful,"
Apogee: 1,000 kilometres (620 mi)
"
7 September15:50,RSM-56 Bulava (R-30),,Russia,"RFS Dmitriy Donskoy, White Sea",VMF,,VMF,Suborbital,Missile test,7 September,Launch failure,"
Apogee: 1 kilometre (0.62 mi), first stage malfunction
"
9 September07:00,Long March 2C,,China,Jiuquan LA-4/SLS-2,CNSA,Shi Jian 8,CASC,Low Earth,Biological,24 September02:43,Successful,"
Investigated exposure of seeds to microgravity and radiation, spacecraft recovered after reentry
"
9 September11:20,R-29RMU Sineva,,Russia,"K-84 Ekaterinburg, North Pole",VMF,,VMF,Suborbital,Missile test,9 September,Successful,"
Apogee: 1,000 kilometres (620 mi)
"
9 September15:14:55,Space Shuttle Atlantis,,United States,Kennedy LC-39B,United Space Alliance,"STS-115
ITS P3/4 Truss","NASA
NASA","Low Earth (ISS)
Low Earth (ISS)","ISS assembly
ISS component","21 September10:21
In orbit","Successful
Operational","
Crewed orbital flight with 6 astronauts, first ISS assembly mission since 2002
"
9 September22:17:00,Nike-Orion,,Norway,Andøya,Andøya,ECOMA-1,Andøya/DLR,Suborbital,Atmospheric,9 September,Successful,"
Apogee: 130 kilometres (81 mi)
"
10 September14:50,R-29R Volna,,Russia,"K-433 Svyaity Georgiy, Simushir",VMF,,VMF,Suborbital,Missile test,10 September,Successful,"
Apogee: 1,000 kilometres (620 mi)
"
11 September04:35,H-IIA 202,,Japan,Tanegashima LA-Y1,JAXA,IGS-3A,CSICE,Low Earth,Optical imaging,29 October 2016,
12 September16:02,Long March 3A,,China,Taiyuan LC-1,CNSC,ChinaSat 22A,ChinaSat,Geosynchronous,Communications,In orbit,Operational
13 September10:30,Hera,,United States,White Sands,US Army,FFT-5 Target,US Army/MDA,Suborbital,Target,13 September,Successful,"
Apogee: 300 kilometres (190 mi), THAAD target
"
14 September13:41:00,Soyuz-U,,Kazakhstan,Baikonur Site 31/6,VKS,Kosmos 2423 (Don),VKS,Low Earth,Optical imaging,17 November,Successful,"
Ceased operations on 14 November, self-destructed 3 days later
"
17 September21:06:46,Nike-Orion,,Norway,Andøya,Andøya,ECOMA-2,Andøya/DLR,Suborbital,Atmospheric,17 September,Successful,"
Apogee: 129 kilometres (80 mi)
"
18 September04:08:42,Soyuz-FG,,Kazakhstan,Baikonur Site 1/5,Roskosmos,Soyuz TMA-9,Roskosmos,Low Earth (ISS),ISS Expedition 14,21 April 200712:31,Successful,"
Crewed orbital flight with 3 cosmonauts including the first female space tourist and Iranian-born space traveller
"
22 September21:36:00,M-V,,Japan,Uchinoura,JAXA,"Hinode (SOLAR-B)
HIT-SAT
SSSAT","JAXA
HIT
JAXA","Sun-synchronous
Low Earth","Solar
Technology
Solar sail","In orbit
18 June 200808:48
26 September","Operational
Successful
Spacecraft failure","
Final flight of M-V rocket and Mu family, SSSat failed to establish communications with ground
"
23 September15:17:54,Black Brant XI,,United States,Wallops Island,NASA,,NASA,Suborbital,Test,23 September,Successful,"
Apogee: 300 kilometres (190 mi)
"
25 September18:50,Delta II 7925,,United States,Cape Canaveral SLC-17A,Boeing IDS,USA-190 (GPS IIR-15/M2),US Air Force,Medium Earth,Navigation,In orbit,Operational
25 September20:14,SpaceLoft XL,,United States,Spaceport America,UP Aerospace,,Various,Suborbital,Various,T+60 seconds,Launch failure,"
Maiden flight of SpaceLoft XL sounding rocket, first flight from Spaceport America, rocket went out of control and failed to reach space, apogee: 12 kilometres (7.5 mi)
"
13 October20:56,Ariane 5ECA,,France,Kourou ELA-3,Arianespace,"DirecTV-9S
Optus D1
LDREX-2","DirecTV
Optus
JAXA","Geosynchronous
Geosynchronous
Geosynchronous transfer","Communications
Communications
Technology","In orbit
In orbit
30 September 201002:23","Operational
Operational
Successful"
19 October16:28:13,Soyuz-2.1a/Fregat,,Kazakhstan,Baikonur Site 31/6,Starsem,MetOp-A,EUMETSAT,Sun-synchronous,Weather,In orbit,Operational,"
Maiden flight of Soyuz-2.1a/Fregat
"
23 October13:40:36,Soyuz-U,,Russia,Baikonur Site 1/5,Roskosmos,Progress M-58,Roskosmos,Low Earth (ISS),Logistics,27 March 200722:44,Successful,"
ISS flight 23P, antenna stowage issues on 26 October initially prevented full mechanical docking, second attempt was successful.
"
23 October23:34,Long March 4B,,China,Taiyuan LC-1,CNSA,"Shi Jian 6-2A
Shi Jian 6-2B","CASC
CASC","Low Earth
Low Earth","Environmental
Environmental","In orbit
In orbit","Operational
Operational"
25 October13:05,RSM-56 Bulava (R-30),,Russia,"RFS Dmitriy Donskoy, Beloye More",VMF,,VMF,Suborbital,Missile test,25 October,Launch failure,"
Apogee: 100 kilometres (62 mi), first stage malfunction
"
26 October00:52:00,Delta II 7925,,United States,Cape Canaveral SLC-17B,Boeing IDS,"STEREO-A
STEREO-B","NASA
NASA","Heliocentric
Heliocentric","Solar
Solar","In orbit
In orbit","Operational
Operational"
28 October16:20,Long March 3B,,China,Xichang LA-2,CASC,Sinosat-2,Sinosat,Intended: GeosynchronousAchieved: Subsynchronous,Communications,In orbit,Spacecraft failure,"
Solar panels and communications antenna failed to deploy
"
28 October17:58:00,Black Brant IX,,United States,White Sands LC-36,NASA,LASP,,Suborbital,Solar,28 October,Successful,"
Apogee: 300 kilometres (190 mi)
"
30 October23:48:59,Zenit-3SL,,Norway,Ocean Odyssey,Sea Launch,"XM-4 ""Blues""",XM Satellite Radio,Geosynchronous,Communications,In orbit,Operational
2 November,Shahab-3,,Iran,Shahrood,IRG,,IRG,Suborbital,Missile test,2 November,Successful,"
Apogee: 150 kilometres (93 mi)
"
4 November13:53,Delta IV-M,,United States,Vandenberg SLC-6,Boeing IDS,USA-191 (DMSP F17),US Air Force/NOAA,Sun-synchronous,Weather,In orbit,Operational
7 November19:30,Black Brant IX,,United States,White Sands LC-36,NASA,USC-7,,Suborbital,Solar,7 November,Successful,"
Apogee: 300 kilometres (190 mi)
"
8 November20:01:00,Proton-M/Briz-M,,Kazakhstan,Baikonur Site 200/39,International Launch Services,Badr-4 (ARABSAT 4B),ARABSAT,Geosynchronous,Communications,In orbit,Operational
9 November08:51,M51,,France,Biscarosse,French Navy,,French Navy,Suborbital,Missile test,9 November,Successful,"
Apogee: 1,000 kilometres (620 mi)
"
9 November11:35,UR-100NU,,Kazakhstan,Baikonur Site 175/2,RVSN,,RVSN,Suborbital,Missile test,9 November,Successful,"
Apogee: 1,000 kilometres (620 mi)
"
16 November,Terrier-Orion,,United States,PMRF,US Navy,ARAV-B,US Navy,Suborbital,Target,16 November,Successful,"
Apogee: 150 kilometres (93 mi)
"
16 November,Ghauri,,Pakistan,Tilla,Army of Pakistan,Haft-5,Army of Pakistan,Suborbital,Missile test,16 November,Successful,"
Apogee: 100 kilometres (62 mi)
"
17 November19:12:00,Delta II 7925,,United States,Cape Canaveral SLC-17A,Boeing IDS,USA-192 (GPS IIR-16/M3),US Air Force,Medium Earth,Navigation,In orbit,Operational
21 November02:00,Black Brant IX,,United States,White Sands LC-36,NASA,CyXESS,,Suborbital,XR Astronomy,21 November,Successful,"
Apogee: 300 kilometres (190 mi)
"
21 November,UGM-133 Trident II (D5),,United States,"USS Maryland, ETR",US Navy,,US Navy,Suborbital,Missile test,21 November,Successful,"
Apogee: 1,000 kilometres (620 mi)
"
21 November,UGM-133 Trident II (D5),,United States,"USS Maryland, ETR",US Navy,,US Navy,Suborbital,Missile test,21 November,Successful,"
Apogee: 1,000 kilometres (620 mi)
"
26 November,Prithvi,,India,Integrated Test Range LC-3,DRDO,,DRDO,Suborbital,Missile test,26 November,Successful,"
Apogee: 100 kilometres (62 mi)
"
27 November04:45,Prithvi,,India,Integrated Test Range LC-3,DRDO,,DRDO,Suborbital,Target,27 November,Successful,"
Apogee: 100 kilometres (62 mi), intercepted by another Prithvi
"
27 November04:46,Prithvi,,India,Integrated Test Range LC-4,DRDO,,DRDO,Suborbital,ABM test,27 November,Successful,"
Apogee: 100 kilometres (62 mi), intercepted another Prithvi
"
29 November,Shaheen-I,,Pakistan,Sonmiani,Army of Pakistan,Haft-4,Army of Pakistan,Suborbital,Target,29 November,Successful,"
Apogee: 100 kilometres (62 mi)
"
7 December,Aries,,United States,PMRF,US Navy,FTM-11 Target,US Navy/MDA,Suborbital,Target,7 December,Successful,"
Apogee: 300 kilometres (190 mi), AEGIS target
"
8 December00:53,Long March 3A,,China,Xichang LA-2,CASC,Feng Yun 2D,CMA,Geosynchronous,Weather,In orbit,Operational
8 December22:08,Ariane 5ECA,,France,Kourou ELA-3,Arianespace,"WildBlue 1
AMC-18","WildBlue
SES Americom","Geosynchronous
Geosynchronous","Communications
Communications","In orbit
In orbit","Operational
Operational"
