Date and Time,Rocket,Flight Number,Launch Country,Launch Site,LSP,Payload,Operator,Orbit,Function,Decay,Outcome,Remarks
15 January16:24:59,Rokot / Briz-KM,,Russia,Plesetsk Site 133/3,VKO,"Kosmos 2482 (Strela-3M)
Kosmos 2483 (Strela-3M)
20 November01:15:00,Minotaur I,,United States,MARS LP-0B,Orbital Sciences,"ORS-3
STPSat 3","ORS
USAF STP","Low Earth
Low Earth","Technology demonstration
Technology demonstration","25 December 2015
In orbit","Successful
Operational","
ORS-3 will remain attached to upper stage.
"
20 November03:31:04,Long March 4C,,China,Taiyuan LC-9,SAST,Yaogan 19,CNSA,Low Earth,Reconnaissance,In orbit,Operational
21 November07:10:16,Dnepr,,Russia,Dombarovsky Site 370/13,ISC Kosmotras,"DubaiSat-2
STSAT-3
SkySat-1","EIAST
KARI
Skybox Imaging","Low Earth (SSO)
Low Earth (SSO)
Low Earth (SSO)","Technology demonstration
Technology demonstration
Earth observation","In orbit
In orbit
In orbit","Operational
Operational
Operational","AprizeSat-7
AprizeSat-8
UniSat-5","AprizeSat
AprizeSat
La Sapienza","Low Earth (SSO)
Low Earth (SSO)
Low Earth (SSO)","Communications
Communications
Technology demonstration","In orbit
In orbit
In orbit","Operational
Operational
Operational",Pocket-PUCP,PUCP,Low Earth (SSO),Technology demonstration,In orbit,Operational,BPA-3,Hartron-Arkos,Low Earth (SSO),Technology demonstration,In orbit,Operational
22 November12:02:29,Rokot / Briz-KM,,Russia,Plesetsk Site 133/3,Eurockot,"Swarm A
Swarm B
Swarm C","ESA
ESA
ESA","Low Earth
Low Earth
Low Earth","Magnetospheric
Magnetospheric
Magnetospheric","In orbit
In orbit
In orbit","Operational
Operational
Operational"
25 November02:12:04,Long March 2D,,China,Jiuquan SLS-2,SAST,Shiyan Weixing 5,CNSA,Low Earth (SSO),Technology demonstration,In orbit,Operational
25 November20:53:06,Soyuz-U,,Kazakhstan,Baikonur Site 31/6,Roscosmos,Progress M-21M / 53P,Roscosmos,Low Earth (ISS),ISS logistics,9 June 2014,Successful
1 December17:30:00,Long March 3B,,China,Xichang LC-2,CALT,"Chang'e 3
Yutu","CNSA
CNSA","Selenocentric
Selenocentric","Lunar lander
Lunar rover","14 December13:12
Operational","
China's first lunar rover, and the first spacecraft to make a soft landing on the Moon since the Soviet Luna 24 mission in 1976.
"
3 December22:41:00,Falcon 9 v1.1,,United States,Cape Canaveral SLC-40,SpaceX,SES-8,SES World Skies,Geosynchronous,Communications,In orbit,Operational,"
First launch of Falcon 9 v1.1 from CCAFS; first SpaceX launch targeting GEO.
"
6 December07:14:30,Atlas V 501,,United States,Vandenberg SLC-3E,United Launch Alliance,USA-247 (Topaz),NRO,Low Earth,Reconnaissance,In orbit,Operational,"
NRO Launch 39
"
8 December12:12:00,Proton-M / Briz-M,,Kazakhstan,Baikonur Site 200/39,International Launch Services,Inmarsat 5-F1,Inmarsat,Geosynchronous,Communications,In orbit,Operational
9 December03:26,Long March 4B,,China,Taiyuan LC-9,SAST,CBERS-3,CASC/INPE,Intended: Low Earth (SSO),Remote sensing,9 December,Launch failure,"
Third stage shutdown 11 seconds too early.
"
19 December09:12:19,Soyuz ST-B / Fregat-MT,,France,Kourou ELS,Arianespace,Gaia,ESA,Sun–Earth L2,Astrometric observatory,In orbit,Operational
20 December16:42:04,Long March 3B/E,,China,Xichang LC-2,CALT,Túpac Katari 1,Agencia Boliviana Espacial,Geosynchronous,Communications,In orbit,Operational
25 December00:31:55,Rokot / Briz-KM,,Russia,Plesetsk Site 133/3,VKO,"Kosmos 2488 (Strela-3M)
Kosmos 2489 (Strela-3M)
Kosmos 2490 (Strela-3M)
Kosmos 2491","VKO
VKO
VKO
VKO","Low Earth
Low Earth
Low Earth
Low Earth","Communications
Communications
Communications
Technology demonstration/Satellite inspection (?)","In orbit
In orbit
In orbit
In orbit","Operational
Operational
Operational
Operational"
26 December10:49:56,Proton-M / Briz-M,,Kazakhstan,Baikonur Site 81/24,Khrunichev,Ekspress AM-5,RSCC,Geosynchronous,Communications,In orbit,Operational
28 December12:30:00,Soyuz-2-1v / Volga,,Russia,Plesetsk Site 43/4,RVSN RF,"Aist 1
Kosmos 2492 (SKRL-756-1)
Kosmos 2493 (SKRL-756-2)","SSAU
RVSN RF
RVSN RF","Low Earth
Low Earth
Low Earth","Technology demonstration
Radar calibration
Radar calibration","In orbit
In orbit
In orbit","Operational
Operational
Operational","
Maiden flight of Soyuz-2-1v.
"
